ORIG_KEGG	ID_CODE	ORGANISM_NAME
ptao	PT4	Phyllopteryx taeniolatus
bpec	BP1	Boleophthalmus pectinirostris
eny	ENY	Eucyclogobius newberryi
malb	MA9	Monopterus albus
bspl	BS1	Betta splendens
sjo	SJO	Scomber japonicus
ssco	SS5	Scomber scombrus
tty	TTY	Thunnus thynnus
gmh	GMH	Gadus morhua
sasa	SA4	Salmo salar
stru	ST2	Salmo trutta
otw	OTW	Oncorhynchus tshawytscha
omy	OMY	Oncorhynchus mykiss
ogo	OGO	Oncorhynchus gorbuscha
one	ONE	Oncorhynchus nerka
oki	OKI	Oncorhynchus kisutch
oke	OKE	Oncorhynchus keta
omm	OMM	Oncorhynchus masou masou
ocla	OC2	Oncorhynchus clarkii lewisi
salp	SA5	Salvelinus sp. IW2-2015
snh	SNH	Salvelinus namaycush
sfon	SF2	Salvelinus fontinalis
cclu	CC9	Coregonus clupeaformis
els	ELS	Esox lucius
oep	OEP	Osmerus eperlanus
sfm	SFM	Scleropages formosus
pki	PKI	Paramormyrops kingsleyae
aang	AA3	Anguilla anguilla
arot	AR2	Anguilla rostrata
ccog	CCA	Conger conger
loc	LOC	Lepisosteus oculatus
pspa	PS3	Polyodon spathula
arut	AR3	Acipenser ruthenus
psex	PS4	Polypterus senegalus
lcm	LCM	Latimeria chalumnae
cmk	CMK	Callorhinchus milii
rtp	RTP	Rhincodon typus
cpla	CP5	Chiloscyllium plagiosum
cpun	CP6	Chiloscyllium punctatum
hoc	HOC	Hemiscyllium ocellatum
scau	SC4	Scyliorhinus canicula
stoz	ST3	Scyliorhinus torazame
leri	LE1	Leucoraja erinaceus
haka	HA2	Hemitrygon akajei
pmrn	PM7	Petromyzon marinus
lrj	LRJ	Lethenteron reissneri
bfo	BFO	Branchiostoma floridae
bbel	BB5	Branchiostoma belcheri
cin	CIN	Ciona intestinalis
sclv	SC5	Styela clava
clep	CL3	Clavelina lepadiformis
spu	SPU	Strongylocentrotus purpuratus
